ts_utc,close,volume
2026-01-22T14:00:00+00:00,480.01,5005.0
2026-01-22T14:05:00+00:00,479.95,4995.0
2026-01-22T14:10:00+00:00,479.9,4995.0
2026-01-22T14:15:00+00:00,480.03,5050.0
2026-01-22T14:20:00+00:00,480.07,4975.0
2026-01-22T14:25:00+00:00,479.97,4995.0
2026-01-22T14:30:00+00:00,479.87,4995.0
2026-01-22T14:35:00+00:00,479.95,5050.0
2026-01-22T14:40:00+00:00,480.07,4975.0
2026-01-22T14:45:00+00:00,479.97,4995.0
2026-01-22T14:50:00+00:00,479.87,4995.0
2026-01-22T14:55:00+00:00,479.95,5050.0
2026-01-22T15:00:00+00:00,480.07,4975.0
2026-01-22T15:05:00+00:00,479.97,4995.0
2026-01-22T15:10:00+00:00,479.87,4995.0
2026-01-22T15:15:00+00:00,479.95,5050.0
2026-01-22T15:20:00+00:00,480.07,4975.0
2026-01-22T15:25:00+00:00,479.97,4995.0
2026-01-22T15:30:00+00:00,479.87,4995.0
2026-01-22T15:35:00+00:00,479.95,5050.0
2026-01-22T15:40:00+00:00,480.07,4975.0
2026-01-22T15:45:00+00:00,479.97,4995.0
2026-01-22T15:50:00+00:00,479.87,4995.0
2026-01-22T15:55:00+00:00,479.95,5050.0
2026-01-22T16:00:00+00:00,480.07,4975.0
2026-01-22T16:05:00+00:00,479.97,4995.0
2026-01-22T16:10:00+00:00,479.87,4995.0
2026-01-22T16:15:00+00:00,479.95,5050.0
2026-01-22T16:20:00+00:00,480.07,4975.0
2026-01-22T16:25:00+00:00,479.97,4995.0
2026-01-22T16:30:00+00:00,479.87,4995.0
2026-01-22T16:35:00+00:00,479.95,5050.0
2026-01-22T16:40:00+00:00,480.07,4975.0
2026-01-22T16:45:00+00:00,479.97,4995.0
2026-01-22T16:50:00+00:00,479.87,4995.0
2026-01-22T16:55:00+00:00,479.95,5050.0
2026-01-22T17:00:00+00:00,480.07,4975.0
2026-01-22T17:05:00+00:00,479.97,4995.0
2026-01-22T17:10:00+00:00,479.87,4995.0
2026-01-22T17:15:00+00:00,479.95,5050.0
2026-01-22T17:20:00+00:00,480.07,4975.0
2026-01-22T17:25:00+00:00,479.97,4995.0
2026-01-22T17:30:00+00:00,479.87,4995.0
2026-01-22T17:35:00+00:00,479.95,5050.0
2026-01-22T17:40:00+00:00,480.07,4975.0
2026-01-22T17:45:00+00:00,479.97,4995.0
2026-01-22T17:50:00+00:00,479.87,4995.0
2026-01-22T17:55:00+00:00,479.95,5050.0
2026-01-22T18:00:00+00:00,480.07,4975.0
2026-01-22T18:05:00+00:00,479.97,4995.0
2026-01-22T18:10:00+00:00,479.87,4995.0
2026-01-22T18:15:00+00:00,479.95,5050.0
